name,supplier,category,date,price,notes,waspaid
ביטוח לעסק,הפניקס אלמנטרי,מנהלי,05/02/2023,1214,תשלום 4/4,TRUE
שכירות,אלי גלעד,שכירות,06/02/2023,4680,פברואר,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,12/02/2023,116,ינואר,TRUE
וו לעגלה,אא נגררים,לוגיסטיקה,16/02/2023,1872,,TRUE
מקרר,מאכר בני ברק,לוגיסטיקה,21/02/2023,1170,,TRUE
מלאי כוסות,אולסייל טריידינג,כוסות,21/02/2023,190,,TRUE
כיריים,מחסני חשמל,לוגיסטיקה,21/02/2023,293,,TRUE
מלאי כוסות,ארגל,כוסות,21/02/2023,312,,TRUE
מלאי,שימורי איכות,מלאי,21/02/2023,2399,,TRUE
כבל מאריך,טמבוריה פלוס,לוגיסטיקה,23/02/2023,69,שולם מאסף,TRUE
תדלוק,ביילסול,דלק,24/02/2023,200,רכב של אמא,TRUE
צידנית 45 ליטר קולמן,חגור שופס,לוגיסטיקה,26/02/2023,319,,TRUE
מיץ לימון,סחוטים,מיץ לימון,27/02/2023,585,,TRUE
דולי,גליל גום,לוגיסטיקה,28/02/2023,614,שולם מאסף,TRUE
תדלוק,פז רמת גן,דלק,01/03/2023,107,מאזדה,TRUE
ספרות קרמל,סרחיו,מזון ומשקאות,02/03/2023,72,,TRUE
פירות קפואים,פרי הבוסתן,מזון ומשקאות,02/03/2023,146,,TRUE
קרח,אייס קיובס,קרח,02/03/2023,432,,TRUE
קמפיין גוגל,גוגל,פרסום,03/03/2023,547,פברואר,TRUE
קרח,אייס קיובס,קרח,04/03/2023,420,,TRUE
תדלוק,פז קרית אונו,דלק,05/03/2023,100,רכב של אמא,TRUE
קשים פלסטיק,JACKY,לוגיסטיקה,05/03/2023,75,,TRUE
מלאי,אליאסי,מלאי,05/03/2023,220,,TRUE
שכירות,אלי גלעד,שכירות,06/03/2023,4680,מרץ,TRUE
תדלוק,דלק כפר אדומים,דלק,07/03/2023,200,,TRUE
שיפודים לקוקטיילים,aliexpress,לוגיסטיקה,08/03/2023,46,,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,13/03/2023,116,פברואר,TRUE
מכס,מכס,ערייה וממשלה,13/03/2023,195,עבור שמפניירות,TRUE
מלאי,שימורי איכות,מלאי,13/03/2023,1363,,TRUE
מלאי,היבואן,מלאי,13/03/2023,2516,,TRUE
מלאי,היבואן,מלאי,15/03/2023,9908,,TRUE
עניבות פפיון,aliexpress,לוגיסטיקה,23/03/2023,42,,TRUE
מיץ לימון,סחוטים,מיץ לימון,27/03/2023,234,,TRUE
קופסאות פלסטיק,הכל בדולר,לוגיסטיקה,30/03/2023,59,,TRUE
רצועת ראצ'ט,הספקה לתעשייה,לוגיסטיקה,30/03/2023,32,,TRUE
שכירות,אלי גלעד,שכירות,01/04/2023,4680,אפריל,TRUE
פנסיה לעובדים,אינפיניטי,ערייה וממשלה,02/04/2023,1444,מרץ,TRUE
ראיית חשבון,עידו עמרם,מנהלי,02/04/2023,1170,ינואר-פברואר,TRUE
